"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Dicentrarchus labrax",19,78,1,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Dikerogammarus villosus",396,465,1,"ctmax;lt50;ltmax",3,"animal","verified thermal-source taxonomy"
"GloBI consumers","Dinocras cephalotes",429,504,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Diplectrum formosum",106,184,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Diplodus sargus",67,242,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Diplodus vulgaris",33,147,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Dorosoma cepedianum",105,215,1,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Eleotris acanthopomus",9,30,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Eleotris fusca",9,21,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Eleutherodactylus coqui",1,8,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Elgaria multicarinata",6,10,1,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Elopichthys bambusa",1,1,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Elops hawaiensis",2,11,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Elops machnata",12,25,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Elops saurus",72,152,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Enneacanthus gloriosus",48,85,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Epinephelus tauvina",1,22,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Erimyzon oblongus",91,128,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Erythemis simplicicollis",70,103,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Esox lucius",877,1069,1,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Esox masquinongy",17,36,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Esox niger",4,38,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Etheostoma olmstedi",91,126,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Etroplus maculatus",1,28,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Euophrys frontalis",1013,1082,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Euthynnus affinis",28,61,0,"ctmax",1,"animal","verified thermal-source taxonomy"
