consumer,metrics,n_metrics
Oncorhynchus clarkii,ctmax;lt50,2
Oncorhynchus gorbuscha,ctmax,1
Oncorhynchus keta,ctmax;ltmax,2
Oncorhynchus kisutch,ctmax;lt50,2
Oncorhynchus mykiss,ctmax;ctmin,2
Oncorhynchus nerka,ctmax,1
Oncorhynchus tshawytscha,ctmax;lt50,2
Oreochromis andersonii,ctmax,1
Oreochromis esculentus,ctmax,1
Oreochromis mossambicus,ctmax,1
Oreochromis niloticus,ctmax,1
Osmerus dentex,ctmax,1
Osmerus eperlanus,ctmax,1
Osmerus mordax,ctmax,1
Pachycara brachycephalum,ctmax,1
Pachygrapsus marmoratus,ctmax,1
Padogobius bonelli,ctmax,1
Pagellus bogaraveo,ctmax,1
Pagrus auratus,ctmax,1
Pagrus major,ctmax,1
Pagurus bernhardus,ctmax,1
Palaemon elegans,ctmax,1
Palaemon longirostris,ctmax,1
Palaemon macrodactylus,ctmax,1
Pangasius pangasius,ctmax,1
Parachondrostoma toxostoma,ctmax,1
Paragnetina media,ctmax;lt50,2
Paralabrax clathratus,ctmax,1
Paralichthys californicus,ctmax,1
Paralichthys lethostigma,ctmax,1
Paralichthys olivaceus,ctmax,1
Parasuta flagellum,ctmax;ctmin,2
Parophrys vetulus,ctmax,1
Pegusa lascaris,ctmax,1
Pelecus cultratus,ctmax,1
Perca flavescens,ctmax,1
Perca fluviatilis,ctmax,1
Perccottus glenii,ctmax,1
Perissodus microlepis,ctmax,1
Petromyzon marinus,ctmax,1
Petrus rupestris,ctmax,1
Phoxinus lumaireul,ctmax,1
Phyllorhynchus decurtatus,ctmax,1
Pimephales notatus,ctmax,1
Pimephales promelas,ctmax,1
Pituophis catenifer,ctmax,1
Platichthys flesus,ctmax;lt50;ltmax,3
Plecodus straeleni,ctmax,1
Pleuronectes platessa,ctmax;lt50;ltmax,3
Pogonomyrmex rugosus,ctmax,1
Pomacea canaliculata,ltmax,1
Pomatoschistus microps,ctmax,1
Pomatoschistus minutus,ctmax,1
Pomoxis annularis,ctmax,1
Pomoxis nigromaculatus,ctmax,1
Ponticola kessleri,ctmax,1
Potamopyrgus antipodarum,ctmax,1
Prenolepis imparis,ctmax,1
Pristolepis fasciata,ctmax,1
Probarbus jullieni,ctmax,1
Prognathodes aculeatus,ctmax,1
Prosopium williamsoni,ctmax;lt50,2
Pseudacris regilla,ctmax,1
Pseudechis porphyriacus,ctmin,1
Pseudonaja nuchalis,ctmin,1
Pseudonaja textilis,ctmax;ctmin,2
Pseudopleuronectes americanus,ctmax;lt50,2
Pseudorasbora parva,ctmax,1
Pterogymnus laniarius,ctmax,1
