species_alias,accepted_species,species_raw,metric,trait_value,trait_source,source_record_id,kingdom,phylum,class,order,family,habitat_class,group,source_priority
Myro kerguelenensis,Myro kerguelenensis,Myro kerguelenensis,ctmax,35.4,GlobTherm,GlobTherm_row_321_upper_primary,,Arthropoda,Arachnida,Araneae,Desidae,unknown,,3
Myro kerguelenensis,Myro kerguelenensis,Myro kerguelenensis,ctmin,-6.4,GlobTherm,GlobTherm_row_321_lower_primary,,Arthropoda,Arachnida,Araneae,Desidae,unknown,,3
Myrsine africana,Myrsine africana,Myrsine africana,lt50,-9,GlobTherm,GlobTherm_row_1985_lower_primary,,Streptophyta,Spermatophyta,Ericales,Primulaceae,unknown,,3
Myrsine australis,Myrsine australis,Myrsine australis,lt50,-7.6,GlobTherm,GlobTherm_row_1986_lower_primary,,Streptophyta,Spermatophyta,Ericales,Primulaceae,unknown,,3
Myrsine salicina,Myrsine salicina,Myrsine salicina,lt50,-5.1,GlobTherm,GlobTherm_row_1987_lower_primary,,Streptophyta,Spermatophyta,Ericales,Primulaceae,unknown,,3
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,37.9,ThermoFresh,t_4241,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,37.5,ThermoFresh,t_4237,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,39.5,ThermoFresh,t_4242,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,38.9,ThermoFresh,t_4239,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,39.5,ThermoFresh,t_4243,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,39,ThermoFresh,t_4238,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,37.5,ThermoFresh,t_4240,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,37,ThermoFresh,t_4236,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Mystacoleucus chilopterus,Mystacoleucus chilopterus,Mystacoleucus chilopterus,ctmax,40.65,ComteOlden,ComteOlden_row_1309,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Mystacoleucus lepturus,Mystacoleucus lepturus,Mystacoleucus lepturus,ctmax,38.93,ComteOlden,ComteOlden_row_1310,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Mystacoleucus marginatus,Mystacoleucus marginatus,Mystacoleucus marginatus,ctmax,40.09,ComteOlden,ComteOlden_row_1311,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Mystus bocourti,Mystus bocourti,Mystus bocourti,ctmax,40.64,ComteOlden,ComteOlden_row_172,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus cavasius,Mystus cavasius,Mystus cavasius,ctmax,35.01,ComteOlden,ComteOlden_row_173,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus leucophasis,Mystus leucophasis,Mystus leucophasis,ctmax,40.29,ComteOlden,ComteOlden_row_174,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus oculatus,Mystus oculatus,Mystus oculatus,ctmax,40.66,ComteOlden,ComteOlden_row_175,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus pulcher,Mystus pulcher,Mystus pulcher,ctmax,39.32,ComteOlden,ComteOlden_row_176,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus tengara,Mystus tengara,Mystus tengara,ctmax,39.17,ComteOlden,ComteOlden_row_177,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mystus vittatus,Mystus vittatus,Mystus vittatus,ctmax,37.82,ComteOlden,ComteOlden_row_178,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Mytilopsis sallei,Mytilopsis sallei,Mytilopsis sallei,ctmax,42.4,ThermoFresh,t_3112,Metazoa,Mollusca,Bivalvia,Myida,Dreissenidae,mixed,invertebrate,1
Mytilopsis sallei,Mytilopsis sallei,Mytilopsis sallei,ctmax,39.7,ThermoFresh,t_3113,Metazoa,Mollusca,Bivalvia,Myida,Dreissenidae,mixed,invertebrate,1
Mytilopsis sallei,Mytilopsis sallei,Mytilopsis sallei,ctmax,38.4,ThermoFresh,t_3114,Metazoa,Mollusca,Bivalvia,Myida,Dreissenidae,mixed,invertebrate,1
Mytilus edulis,Mytilus edulis,Mytilus edulis,lt50,30.5,GlobTherm,GlobTherm_row_549_upper_primary,,Mollusca,Bivalvia,Mytiloida,Mytilidae,unknown,,3
Mytilus edulis,Mytilus edulis,Mytilus edulis,lt50,-8.2,GlobTherm,GlobTherm_row_549_lower_primary,,Mollusca,Bivalvia,Mytiloida,Mytilidae,unknown,,3
Myxocyprinus asiaticus,Myxocyprinus asiaticus,Myxocyprinus asiaticus,ctmax,37.5,ThermoFresh,t_5019,Metazoa,Chordata,Actinopteri,Cypriniformes,Catostomidae,freshwater,fish,1
Myxocyprinus asiaticus,Myxocyprinus asiaticus,Myxocyprinus asiaticus,ctmax,33.2,ThermoFresh,t_5018,Metazoa,Chordata,Actinopteri,Cypriniformes,Catostomidae,freshwater,fish,1
Myxocyprinus asiaticus,Myxocyprinus asiaticus,Myxocyprinus asiaticus,ctmin,3.6,ThermoFresh,t_5020,Metazoa,Chordata,Actinopteri,Cypriniformes,Catostomidae,freshwater,fish,1
Myxocyprinus asiaticus,Myxocyprinus asiaticus,Myxocyprinus asiaticus,ctmin,9.3,ThermoFresh,t_5021,Metazoa,Chordata,Actinopteri,Cypriniformes,Catostomidae,freshwater,fish,1
Myxophyes fasciolatus,Myxophyes fasciolatus,Myxophyes fasciolatus,ctmax,30.5,GlobTherm,GlobTherm_row_237_upper_primary,,Chordata,Amphibia,Anura,Myobatrachidae,unknown,,3
Nacella concinna,Nacella concinna,Nacella concinna,ctmax,5,GlobTherm,GlobTherm_row_731_upper_primary,,Mollusca,Gastropoda,Patellogastropoda,Nacellidae,unknown,,3
Nacella concinna,Nacella concinna,Nacella concinna,lt50,-12.9,GlobTherm,GlobTherm_row_731_lower_primary,,Mollusca,Gastropoda,Patellogastropoda,Nacellidae,unknown,,3
Nandus nandus,Nandus nandus,Nandus nandus,ctmax,39.17,ComteOlden,ComteOlden_row_2249,Animalia,Chordata,Actinopterygii,,Nandidae,freshwater,fish,2
Nandus nebulosus,Nandus nebulosus,Nandus nebulosus,ctmax,39.53,ComteOlden,ComteOlden_row_2250,Animalia,Chordata,Actinopterygii,,Nandidae,freshwater,fish,2
Nandus oxyrhynchus,Nandus oxyrhynchus,Nandus oxyrhynchus,ctmax,40.24,ComteOlden,ComteOlden_row_2251,Animalia,Chordata,Actinopterygii,,Nandidae,freshwater,fish,2
Nannocharax machadoi,Nannocharax machadoi,Nannocharax machadoi,ctmax,36.58,ComteOlden,ComteOlden_row_1661,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Nannocharax macropterus,Nannocharax macropterus,Nannocharax macropterus,ctmax,37.16,ComteOlden,ComteOlden_row_1662,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Nannocharax multifasciatus,Nannocharax multifasciatus,Nannocharax multifasciatus,ctmax,36.8,ComteOlden,ComteOlden_row_1663,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Nannoscincus maccoyi,Nannoscincus maccoyi,Nannoscincus maccoyi,ctmax,37,GlobTherm,GlobTherm_row_1246_upper_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Nannoscincus maccoyi,Nannoscincus maccoyi,Nannoscincus maccoyi,ctmin,4,GlobTherm,GlobTherm_row_1246_lower_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Nannostomus beckfordi,Nannostomus beckfordi,Nannostomus beckfordi,ctmax,35.5,ThermoFresh,t_645,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nannostomus eques,Nannostomus eques,Nannostomus eques,ctmax,41,ThermoFresh,t_2265,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nannostomus eques,Nannostomus eques,Nannostomus eques,ctmax,41.6,ThermoFresh,t_2266,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nannostomus marginatus,Nannostomus marginatus,Nannostomus marginatus,ctmax,35.67,ThermoFresh,t_646,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nannostomus trifasciatus,Nannostomus trifasciatus,Nannostomus trifasciatus,ctmax,42.5,ThermoFresh,t_2268,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nannostomus trifasciatus,Nannostomus trifasciatus,Nannostomus trifasciatus,ctmax,39.5,ThermoFresh,t_2267,Metazoa,Chordata,Actinopteri,Characiformes,Lebiasinidae,freshwater,fish,1
Nanobagrus fuscus,Nanobagrus fuscus,Nanobagrus fuscus,ctmax,39.81,ComteOlden,ComteOlden_row_179,Animalia,Chordata,Actinopterygii,,Bagridae,freshwater,fish,2
Nanochromis parilus,Nanochromis parilus,Nanochromis parilus,ctmax,39.81,ComteOlden,ComteOlden_row_580,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Naso annulatus,Naso annulatus,Naso annulatus,ctmax,38.73,ComteOlden,ComteOlden_row_18,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso brachycentron,Naso brachycentron,Naso brachycentron,ctmax,38.65,ComteOlden,ComteOlden_row_19,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso caeruleacauda,Naso caeruleacauda,Naso caeruleacauda,ctmax,38.38,ComteOlden,ComteOlden_row_20,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso caesius,Naso caesius,Naso caesius,ctmax,38.27,ComteOlden,ComteOlden_row_21,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso elegans,Naso elegans,Naso elegans,ctmax,38.52,ComteOlden,ComteOlden_row_22,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso fageni,Naso fageni,Naso fageni,ctmax,38.19,ComteOlden,ComteOlden_row_23,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso hexacanthus,Naso hexacanthus,Naso hexacanthus,ctmax,38.39,ComteOlden,ComteOlden_row_24,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso lituratus,Naso lituratus,Naso lituratus,ctmax,38.56,ComteOlden,ComteOlden_row_25,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso maculatus,Naso maculatus,Naso maculatus,ctmax,37.91,ComteOlden,ComteOlden_row_26,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso mcdadei,Naso mcdadei,Naso mcdadei,ctmax,38.33,ComteOlden,ComteOlden_row_27,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso minor,Naso minor,Naso minor,ctmax,38.53,ComteOlden,ComteOlden_row_28,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso thynnoides,Naso thynnoides,Naso thynnoides,ctmax,38.57,ComteOlden,ComteOlden_row_29,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso tonganus,Naso tonganus,Naso tonganus,ctmax,38.39,ComteOlden,ComteOlden_row_30,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso tuberosus,Naso tuberosus,Naso tuberosus,ctmax,38.27,ComteOlden,ComteOlden_row_31,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso unicornis,Naso unicornis,Naso unicornis,ctmax,38.57,ComteOlden,ComteOlden_row_32,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naso vlamingii,Naso vlamingii,Naso vlamingii,ctmax,38.42,ComteOlden,ComteOlden_row_33,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Naucoris obscuratus,Naucoris obscuratus,Naucoris obscuratus,ctmax,39.9,ThermoFresh,t_1154,Metazoa,Arthropoda,Insecta,Hemiptera,Naucoridae,freshwater,invertebrate,1
Nemacheilus corica,Nemacheilus corica,Nemacheilus corica,ctmax,35.45,ComteOlden,ComteOlden_row_201,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Nemacheilus masyae,Nemacheilus masyae,Nemacheilus masyae,ctmax,39.23,ComteOlden,ComteOlden_row_202,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Nemacheilus rueppelli,Nemacheilus rueppelli,Nemacheilus rueppelli,ctmax,39.4,ComteOlden,ComteOlden_row_203,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Nemacheilus subfusca,Nemacheilus subfusca,Nemacheilus subfusca,ctmax,32.17,ComteOlden,ComteOlden_row_204,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Nemacheilus triangularis,Nemacheilus triangularis,Nemacheilus triangularis,ctmax,38.81,ComteOlden,ComteOlden_row_205,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Nemurella pictetii,Nemurella pictetii,Nemurella pictetii,ctmax,30.1,ThermoFresh,t_4836,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,freshwater,invertebrate,1
Nemurella pictetii,Nemurella pictetii,Nemurella pictetii,ltmax,33.1,ThermoFresh,t_4837,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,freshwater,invertebrate,1
Neobatrachus pictus,Neobatrachus pictus,Neobatrachus pictus,ctmax,29.3,GlobTherm,GlobTherm_row_238_upper_primary,,Chordata,Amphibia,Anura,Myobatrachidae,unknown,,3
Neobola bottegoi,Neobola bottegoi,Neobola bottegoi,ctmax,37.56,ComteOlden,ComteOlden_row_1312,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Neochanna apoda,Neochanna apoda,Neochanna apoda,ctmax,31.35,ComteOlden,ComteOlden_row_1753,Animalia,Chordata,Actinopterygii,,Galaxiidae,freshwater,fish,2
Neochanna burrowsius,Neochanna burrowsius,Neochanna burrowsius,ctmax,29.76,ComteOlden,ComteOlden_row_1754,Animalia,Chordata,Actinopterygii,,Galaxiidae,freshwater,fish,2
Neochanna diversus,Neochanna diversus,Neochanna diversus,ctmax,32.53,ComteOlden,ComteOlden_row_1755,Animalia,Chordata,Actinopterygii,,Galaxiidae,freshwater,fish,2
Neochanna heleios,Neochanna heleios,Neochanna heleios,ctmax,32.62,ComteOlden,ComteOlden_row_1756,Animalia,Chordata,Actinopterygii,,Galaxiidae,freshwater,fish,2
Neocloeon triangulifer,Neocloeon triangulifer,Neocloeon triangulifer,lt50,26.5,ThermoFresh,t_1730,Metazoa,Arthropoda,Insecta,Ephemeroptera,Baetidae,freshwater,invertebrate,1
Neocloeon triangulifer,Neocloeon triangulifer,Neocloeon triangulifer,ltmax,40,ThermoFresh,t_5807,Metazoa,Arthropoda,Insecta,Ephemeroptera,Baetidae,freshwater,invertebrate,1
Neoeucirrhichthys maydelli,Neoeucirrhichthys maydelli,Neoeucirrhichthys maydelli,ctmax,37.22,ComteOlden,ComteOlden_row_854,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,2
Neogobius fluviatilis,Neogobius fluviatilis,Neogobius fluviatilis,ctmax,34.32,ComteOlden,ComteOlden_row_1797,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,2
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.1,ThermoFresh,t_2314,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36.32,ThermoFresh,t_2315,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36.04,ThermoFresh,t_2313,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.85,ThermoFresh,t_2316,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34.2,ThermoFresh,t_3120,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34.2,ThermoFresh,t_3121,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.39,ThermoFresh,t_3568,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.74,ThermoFresh,t_3582,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34.16,ThermoFresh,t_3573,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.87,ThermoFresh,t_3583,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34.45,ThermoFresh,t_3569,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,31.95,ThermoFresh,t_3579,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,31.72,ThermoFresh,t_3576,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.97,ThermoFresh,t_3577,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34.06,ThermoFresh,t_3578,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36.27,ThermoFresh,t_3570,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36,ThermoFresh,t_3574,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.12,ThermoFresh,t_3581,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.47,ThermoFresh,t_3580,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.25,ThermoFresh,t_3572,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36.35,ThermoFresh,t_3571,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,36.7,ThermoFresh,t_3575,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.7,ThermoFresh,t_854,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32,ThermoFresh,t_852,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,32.5,ThermoFresh,t_853,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33,ThermoFresh,t_855,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.5,ThermoFresh,t_856,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,34,ThermoFresh,t_857,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,33.4,ThermoFresh,t_996,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,31.5,ThermoFresh,t_997,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,mixed,fish,1
Neogobius melanostomus,Neogobius melanostomus,Neogobius melanostomus,ctmax,35.41,ComteOlden,ComteOlden_row_1798,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,2
Neogobius pallasi,Neogobius pallasi,Neogobius pallasi,ctmax,36.08,ComteOlden,ComteOlden_row_1799,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,2
Neolamprologus brevis,Neolamprologus brevis,Neolamprologus brevis,ctmax,37.83,ComteOlden,ComteOlden_row_581,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus brichardi,Neolamprologus brichardi,Neolamprologus brichardi,ctmax,37.8,ComteOlden,ComteOlden_row_582,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus christyi,Neolamprologus christyi,Neolamprologus christyi,ctmax,37.83,ComteOlden,ComteOlden_row_583,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus furcifer,Neolamprologus furcifer,Neolamprologus furcifer,ctmax,37.94,ComteOlden,ComteOlden_row_584,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus gracilis,Neolamprologus gracilis,Neolamprologus gracilis,ctmax,38.02,ComteOlden,ComteOlden_row_585,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus leleupi,Neolamprologus leleupi,Neolamprologus leleupi,ctmax,37.88,ComteOlden,ComteOlden_row_586,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus leloupi,Neolamprologus leloupi,Neolamprologus leloupi,ctmax,37.83,ComteOlden,ComteOlden_row_587,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus longior,Neolamprologus longior,Neolamprologus longior,ctmax,37.87,ComteOlden,ComteOlden_row_588,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus meeli,Neolamprologus meeli,Neolamprologus meeli,ctmax,37.93,ComteOlden,ComteOlden_row_589,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus modestus,Neolamprologus modestus,Neolamprologus modestus,ctmax,37.84,ComteOlden,ComteOlden_row_590,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus mondabu,Neolamprologus mondabu,Neolamprologus mondabu,ctmax,37.85,ComteOlden,ComteOlden_row_591,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus multifasciatus,Neolamprologus multifasciatus,Neolamprologus multifasciatus,ctmax,37.89,ComteOlden,ComteOlden_row_592,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus olivaceous,Neolamprologus olivaceous,Neolamprologus olivaceous,ctmax,37.84,ComteOlden,ComteOlden_row_593,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus pulcher,Neolamprologus pulcher,Neolamprologus pulcher,ctmax,37.88,ComteOlden,ComteOlden_row_594,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus savoryi,Neolamprologus savoryi,Neolamprologus savoryi,ctmax,37.86,ComteOlden,ComteOlden_row_595,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus splendens,Neolamprologus splendens,Neolamprologus splendens,ctmax,37.97,ComteOlden,ComteOlden_row_596,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus tetracanthus,Neolamprologus tetracanthus,Neolamprologus tetracanthus,ctmax,37.96,ComteOlden,ComteOlden_row_597,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus toae,Neolamprologus toae,Neolamprologus toae,ctmax,37.95,ComteOlden,ComteOlden_row_598,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolamprologus tretocephalus,Neolamprologus tretocephalus,Neolamprologus tretocephalus,ctmax,38.06,ComteOlden,ComteOlden_row_599,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Neolebias ansorgii,Neolebias ansorgii,Neolebias ansorgii,ctmax,38.95,ComteOlden,ComteOlden_row_1664,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Neolebias powelli,Neolebias powelli,Neolebias powelli,ctmax,39.02,ComteOlden,ComteOlden_row_1665,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Neolebias trilineatus,Neolebias trilineatus,Neolebias trilineatus,ctmax,38.06,ComteOlden,ComteOlden_row_1666,Animalia,Chordata,Actinopterygii,,Distichodontidae,freshwater,fish,2
Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,ctmax,33,ThermoFresh,t_5323,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,ctmax,36,ThermoFresh,t_5321,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,ctmax,31,ThermoFresh,t_5325,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,Neolissochilus hexagonolepis,ctmax,37.08,ThermoFresh,t_1241,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
